"","x","y","c","z"
"185",6485.44718427191,-893.644718427191,0,0
"186",4637.07161224967,-900.607730070911,0,0
"187",9517.00117824489,-914.071495899708,0,0
"188",888.575721599763,-900.468724493582,13,4
"189",3716.09968592695,-895.16770640623,0,0
"190",4138.46534008683,-921.853762662808,0,0
"191",8235.8840819569,-933.897189765317,5,0
"192",6364.38863806036,-948.935973550428,0,0
"193",1004.05445609724,-910.287726534732,2,4
"194",12384.0592048401,-932.536362513891,0,1
"195",12538.3819110379,-952.63802306425,8,1
"196",10618.7393288281,-977.380003465604,5,1
"197",7647.79954080796,-972.912644180834,3,0
"198",11272.8082758621,-988.954333643989,8,1
"199",10170.0795342896,-994.660296718412,3,1
"200",11875.1016393443,-1008.20967534555,8,1
"201",13789.8537227788,-1034.74883589671,3,6
"202",9584.54918115649,-1013.09538010514,3,0
"203",8028.45728418523,-1024.27689126121,0,0
"204",10793.5035220716,-1036.54203005501,8,1
"205",2758.04929012593,-1040.18737466913,1,4
"206",6528.87945675833,-1041.31687053558,0,0
"207",12850.6025466121,-1056.8570941337,8,6
"208",7451.83836065574,-1045.02944262295,0,0
"209",11622.2437411139,-1048.02917722693,5,1
"210",9090.29683240296,-1049.55238218876,3,0
"211",5726.84800769277,-1047.93082516978,0,0
"212",9885.52729885058,-1062.93499651689,3,0
"213",1158.26310786106,-1049.03078610603,0,0
"214",4688.9510230179,-1067.62506393862,0,0
"215",10169.6361287147,-1071.75678336307,3,1
"216",1401.77516956083,-1073.60666698735,1,4
"217",5973.407987993,-1080.02438922705,0,0
"218",2219.53653306944,-1065.0682830282,1,4
"219",6861.2538373425,-1087.37380679649,1,0
"220",5350.21568260503,-1092.24398802283,0,0
"221",3621.74571943527,-1094.8933113047,5,0
"222",4779.45381114903,-1120.63742889647,0,0
"223",12342.631908863,-1114.80845960972,8,1
"224",5714.3488341457,-1140.03932288236,0,0
"225",12462.3350361393,-1126.37780555405,8,1
"226",8655.81380587146,-1158.37992594552,3,0
"227",3505.28857933663,-1141.84985707155,1,0
"228",4218.85873637244,-1178.45725470388,7,0
"229",8232.02705035971,-1137.58152517986,12,0
"230",3237.83867554615,-1155.98219953943,0,0
"231",4097.70073501457,-1167.06564440502,12,0
"232",4985.35191814236,-1138.50438749327,0,0
"233",8388.11264633814,-1179.31309556221,3,0
"234",9025.98478950835,-1174.27360919816,3,0
"235",7018.49556481778,-1165.75649246553,1,0
"236",11466.4573799521,-1179.74018263255,8,1
"237",1651.97583221983,-1173.20164991576,1,4
"238",10526.4981299,-1176.52733223045,5,1
"239",11021.9740761766,-1193.66436893466,8,1
"240",6833.34939851943,-1185.31238433066,0,0
"241",13748.3292997961,-1176.36995241332,12,6
"242",5269.87147044106,-1207.21695617986,3,0
"243",1782.29395716027,-1199.78510477738,1,4
"244",7913.0494814614,-1202.24320477191,3,0
"245",1410.56523822563,-1200.83707557503,2,4
